Date,Australian_Equities,International_Equities,Fixed_Income,Cash,Property
31/01/2020,20,29,20,6,25
29/02/2020,19,27,21,8,25
31/03/2020,19,27,21,8,25
30/04/2020,20,28,20,7,25
31/05/2020,20,28,20,7,25
30/06/2020,20,29,20,6,25
31/07/2020,20,29,20,6,25
31/08/2020,20,29,20,6,25
30/09/2020,20,29,20,6,25
31/10/2020,20,29,20,6,25
30/11/2020,20,29,20,6,25
31/12/2020,20,29,20,6,25
31/01/2021,21,30,19,5,25
28/02/2021,21,30,19,5,25
31/03/2021,21,30,19,5,25
30/04/2021,21,30,19,5,25
31/05/2021,21,30,19,5,25
30/06/2021,21,30,19,5,25
31/07/2021,21,30,19,5,25
31/08/2021,21,30,19,5,25
30/09/2021,21,30,19,5,25
31/10/2021,21,30,19,5,25
30/11/2021,21,30,19,5,25
31/12/2021,21,30,19,5,25
31/01/2022,20,29,18,8,25
28/02/2022,20,29,18,8,25
31/03/2022,20,29,18,8,25
30/04/2022,20,29,18,8,25
31/05/2022,20,29,18,8,25
30/06/2022,20,29,18,8,25
31/07/2022,21,29,17,8,25
31/08/2022,21,29,17,8,25
30/09/2022,21,29,17,8,25
31/10/2022,21,29,17,8,25
30/11/2022,21,29,17,8,25
31/12/2022,21,29,17,8,25
31/01/2023,21,30,18,6,25
28/02/2023,21,30,18,6,25
31/03/2023,21,30,18,6,25
30/04/2023,21,30,18,6,25
31/05/2023,21,30,18,6,25
30/06/2023,21,30,18,6,25
31/07/2023,21,30,18,6,25
31/08/2023,21,30,18,6,25
30/09/2023,21,30,18,6,25
31/10/2023,21,30,18,6,25
30/11/2023,21,30,18,6,25
31/12/2023,21,30,18,6,25
31/01/2024,22,31,17,5,25
29/02/2024,22,31,17,5,25
31/03/2024,22,31,17,5,25
30/04/2024,22,31,17,5,25
31/05/2024,22,31,17,5,25
30/06/2024,22,31,17,5,25
31/07/2024,22,31,17,5,25
31/08/2024,22,31,17,5,25
30/09/2024,22,31,17,5,25
31/10/2024,22,31,17,5,25
30/11/2024,22,31,17,5,25
31/12/2024,22,31,17,5,25
31/01/2025,22,31,17,5,25
28/02/2025,22,31,17,5,25
31/03/2025,22,31,17,5,25
30/04/2025,22,31,17,5,25
31/05/2025,22,31,17,5,25
30/06/2025,22,31,17,5,25
31/07/2025,22,31,17,5,25
31/08/2025,22,31,17,5,25
30/09/2025,22,31,17,5,25
31/10/2025,22,31,17,5,25
30/11/2025,22,31,17,5,25
31/12/2025,22,31,17,5,25
31/01/2026,22,32,17,4,25
28/02/2026,22,32,17,4,25
31/03/2026,22,32,17,4,25
30/04/2026,22,32,17,4,25
