Date,Portfolio_Return,Benchmark_Return,Australian_Equities,International_Equities,Fixed_Income,Cash,Property
31/01/2020,0.012,0.009,35,28,22,5,10
29/02/2020,-0.045,-0.052,34,27,23,6,10
31/03/2020,-0.082,-0.098,30,23,26,11,10
30/04/2020,0.051,0.058,32,24,24,10,10
31/05/2020,0.028,0.024,33,25,23,9,10
30/06/2020,0.015,0.012,34,26,22,8,10
31/07/2020,0.008,0.005,34,26,23,7,10
31/08/2020,0.022,0.019,35,27,22,6,10
30/09/2020,-0.012,-0.015,35,27,22,6,10
31/10/2020,-0.008,-0.011,34,27,23,6,10
30/11/2020,0.045,0.051,35,28,21,6,10
31/12/2020,0.021,0.018,36,28,20,6,10
31/01/2021,0.005,0.003,36,28,20,6,10
28/02/2021,0.018,0.015,36,29,20,5,10
31/03/2021,0.021,0.018,37,29,19,5,10
30/04/2021,0.015,0.012,37,29,19,5,10
31/05/2021,0.009,0.007,37,30,18,5,10
30/06/2021,0.012,0.01,37,30,18,5,10
31/07/2021,0.006,0.004,37,30,18,5,10
31/08/2021,0.019,0.016,37,30,18,5,10
30/09/2021,-0.005,-0.008,36,30,19,5,10
31/10/2021,0.022,0.019,36,30,19,5,10
30/11/2021,-0.003,-0.005,35,30,20,5,10
31/12/2021,0.018,0.015,35,30,20,5,10
31/01/2022,-0.035,-0.038,34,29,21,6,10
28/02/2022,-0.021,-0.024,34,28,21,7,10
31/03/2022,0.012,0.009,34,28,21,7,10
30/04/2022,-0.038,-0.041,33,27,22,8,10
31/05/2022,-0.012,-0.015,33,27,22,8,10
30/06/2022,-0.032,-0.035,32,26,23,9,10
31/07/2022,0.028,0.025,33,27,22,8,10
31/08/2022,-0.015,-0.018,33,27,21,9,10
30/09/2022,-0.028,-0.031,32,26,22,10,10
31/10/2022,0.021,0.018,33,27,21,9,10
30/11/2022,0.035,0.032,34,28,20,8,10
31/12/2022,-0.008,-0.011,34,28,20,8,10
31/01/2023,0.025,0.022,35,28,21,6,10
28/02/2023,-0.005,-0.008,35,28,21,6,10
31/03/2023,0.012,0.009,35,29,21,5,10
30/04/2023,0.015,0.012,35,29,21,5,10
31/05/2023,0.003,0.001,35,29,21,5,10
30/06/2023,0.021,0.018,36,29,20,5,10
31/07/2023,0.015,0.012,36,30,19,5,10
31/08/2023,-0.008,-0.011,35,30,20,5,10
30/09/2023,-0.021,-0.024,34,29,21,6,10
31/10/2023,-0.025,-0.028,33,29,22,6,10
30/11/2023,0.032,0.029,34,29,21,6,10
31/12/2023,0.028,0.025,35,29,21,5,10
31/01/2024,0.012,0.009,35,30,20,5,10
29/02/2024,0.025,0.022,35,31,19,5,10
31/03/2024,0.021,0.018,35,31,19,5,10
30/04/2024,-0.015,-0.018,34,31,20,5,10
31/05/2024,0.018,0.015,35,31,19,5,10
30/06/2024,0.012,0.009,35,31,19,5,10
31/07/2024,0.008,0.005,35,30,20,5,10
31/08/2024,0.015,0.012,35,30,20,5,10
30/09/2024,0.012,0.009,36,30,19,5,10
31/10/2024,-0.005,-0.008,35,30,20,5,10
30/11/2024,0.028,0.025,36,30,19,5,10
31/12/2024,-0.008,-0.011,35,30,20,5,10
31/01/2025,0.018,0.014,35,30,20,5,10
28/02/2025,-0.006,-0.004,34,31,20,5,10
31/03/2025,0.012,0.01,35,30,19,6,10
30/04/2025,0.021,0.018,36,30,18,6,10
31/05/2025,-0.011,-0.009,34,29,21,6,10
30/06/2025,0.016,0.013,35,30,20,5,10
31/07/2025,0.009,0.008,35,31,19,5,10
31/08/2025,0.024,0.02,36,31,18,5,10
30/09/2025,-0.003,-0.005,35,30,20,5,10
31/10/2025,0.015,0.011,35,30,20,5,10
30/11/2025,0.006,0.004,34,31,20,5,10
31/12/2025,0.019,0.016,35,30,20,5,10
31/01/2026,0.011,0.009,36,30,19,5,10
28/02/2026,-0.008,-0.006,35,29,21,5,10
31/03/2026,0.022,0.018,36,30,19,5,10
30/04/2026,0.014,0.012,36,31,18,5,10
