Date,Portfolio_Return,Benchmark_Return
31/01/2020,0.005,0.0098
29/02/2020,-0.045,-0.0513
31/03/2020,-0.085,-0.0973
30/04/2020,0.045,0.0588
31/05/2020,0.025,0.0248
30/06/2020,0.015,0.0128
31/07/2020,0.01,0.0058
31/08/2020,0.025,0.0198
30/09/2020,-0.015,-0.0143
31/10/2020,-0.008,-0.0103
30/11/2020,0.055,0.0518
31/12/2020,0.022,0.0188
31/01/2021,0.006,0.0068
28/02/2021,0.02,0.0189
31/03/2021,0.025,0.0219
30/04/2021,0.016,0.0159
31/05/2021,0.012,0.0108
30/06/2021,0.019,0.0138
31/07/2021,0.0119,0.0118
31/08/2021,0.0199,0.0199
30/09/2021,-0.0031,-0.0042
31/10/2021,0.0249,0.0229
30/11/2021,-0.0051,-0.0012
31/12/2021,0.0199,0.0189
31/01/2022,-0.0301,-0.0283
28/02/2022,-0.0151,-0.0141
31/03/2022,0.0149,0.0192
30/04/2022,-0.0281,-0.0313
31/05/2022,-0.0101,-0.005
30/06/2022,-0.0281,-0.0252
31/07/2022,0.0259,0.0354
31/08/2022,-0.017,-0.0081
30/09/2022,-0.03,-0.0212
31/10/2022,0.0189,0.0283
30/11/2022,0.0329,0.0424
31/12/2022,-0.01,-0.001
31/01/2023,0.0229,0.0271
28/02/2023,-0.007,-0.003
31/03/2023,0.01,0.014
30/04/2023,0.013,0.0171
31/05/2023,0.001,0.006
30/06/2023,0.0189,0.0231
31/07/2023,0.014,0.0171
31/08/2023,-0.009,-0.0061
30/09/2023,-0.022,-0.0191
31/10/2023,-0.026,-0.0231
30/11/2023,0.031,0.0341
31/12/2023,0.027,0.0301
31/01/2024,0.011,0.0109
29/02/2024,0.024,0.024
31/03/2024,0.02,0.02
30/04/2024,-0.016,-0.0161
31/05/2024,0.017,0.017
30/06/2024,0.011,0.0109
31/07/2024,0.0073,0.0069
31/08/2024,0.0143,0.0139
30/09/2024,0.0113,0.0109
31/10/2024,-0.0056,-0.0061
30/11/2024,0.0273,0.027
31/12/2024,-0.0086,-0.0091
31/01/2025,0.0173,0.014
28/02/2025,-0.0066,-0.004
31/03/2025,0.0113,0.01
30/04/2025,0.0203,0.018
31/05/2025,-0.0116,-0.009
30/06/2025,0.0153,0.013
31/07/2025,0.009,0.008
31/08/2025,0.024,0.02
30/09/2025,-0.003,-0.005
31/10/2025,0.015,0.011
30/11/2025,0.006,0.004
31/12/2025,0.019,0.016
31/01/2026,0.011,0.009
28/02/2026,-0.008,-0.006
31/03/2026,0.022,0.018
30/04/2026,0.0251,0.0209
